,0,1,2,3,4,5,6,7
42297,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_1,Farm Frenzy Free: Time management game _7_1_12,train,what other apps does this app want to access data from?,In some of our apps we use subscriptions in order to provide you with interesting offers.,Relevant
42298,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_1,Farm Frenzy Free: Time management game _7_1_13,train,what other apps does this app want to access data from?,"Technically, these subscriptions are provided by Google Play / App Store, and we do not collect any extra information besides your email address.",Relevant
42305,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_1,Farm Frenzy Free: Time management game _7_1_20,train,what other apps does this app want to access data from?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42308,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_1,Farm Frenzy Free: Time management game _7_1_23,train,what other apps does this app want to access data from?,Some of our Android apps were reported to be requesting access to the contacts book of the mobile phones.,Relevant
42311,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_1,Farm Frenzy Free: Time management game _7_1_26,train,what other apps does this app want to access data from?,"Our website and some of our apps may have links to other sites, apps and services.",Relevant
42334,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_2,Farm Frenzy Free: Time management game _7_2_15,train,what will happen to any information they collect from me?,We process the this information in an anonymous way for the general purposes:,Relevant
42335,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_2,Farm Frenzy Free: Time management game _7_2_16,train,what will happen to any information they collect from me?,to provide you with services,Relevant
42336,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_2,Farm Frenzy Free: Time management game _7_2_17,train,what will happen to any information they collect from me?,to communicate with you via email and to respond to your questions and comments,Relevant
42337,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_2,Farm Frenzy Free: Time management game _7_2_18,train,what will happen to any information they collect from me?,for statistical purposes which help us to improve the quality of the services we provide,Relevant
42338,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_2,Farm Frenzy Free: Time management game _7_2_19,train,what will happen to any information they collect from me?,"We have physical, electronic, and procedural safeguards that comply with regulations to protect personal information.",Relevant
42339,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_2,Farm Frenzy Free: Time management game _7_2_20,train,what will happen to any information they collect from me?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42340,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_2,Farm Frenzy Free: Time management game _7_2_21,train,what will happen to any information they collect from me?,We have never received any requests from the state authorities of any country for providing such information.,Relevant
42341,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_2,Farm Frenzy Free: Time management game _7_2_22,train,what will happen to any information they collect from me?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
42357,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_3,Farm Frenzy Free: Time management game _7_3_4,train,is my information going to be sold to advertisers through this app?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
42358,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_3,Farm Frenzy Free: Time management game _7_3_5,train,is my information going to be sold to advertisers through this app?,These IDs do not reveal any specified information about the user.,Relevant
42373,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_3,Farm Frenzy Free: Time management game _7_3_20,train,is my information going to be sold to advertisers through this app?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42374,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_3,Farm Frenzy Free: Time management game _7_3_21,train,is my information going to be sold to advertisers through this app?,We have never received any requests from the state authorities of any country for providing such information.,Relevant
42375,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_3,Farm Frenzy Free: Time management game _7_3_22,train,is my information going to be sold to advertisers through this app?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
42406,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_4,Farm Frenzy Free: Time management game _7_4_19,train,what level of security does the app use for storage of personal information?,"We have physical, electronic, and procedural safeguards that comply with regulations to protect personal information.",Relevant
42444,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_5,Farm Frenzy Free: Time management game _7_5_23,train,what permissions does this app require?,Some of our Android apps were reported to be requesting access to the contacts book of the mobile phones.,Relevant
42449,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_5,Farm Frenzy Free: Time management game _7_5_28,train,what permissions does this app require?,"By using our website and apps, you are confirming that you are agreed to our Privacy Policy.",Relevant
42450,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_5,Farm Frenzy Free: Time management game _7_5_29,train,what permissions does this app require?,"In case you do not agree with it, please, don't use our products.",Relevant
42455,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_6,Farm Frenzy Free: Time management game _7_6_0,train,does the app have access to my camera?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
42456,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_6,Farm Frenzy Free: Time management game _7_6_1,train,does the app have access to my camera?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
42457,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_6,Farm Frenzy Free: Time management game _7_6_2,train,does the app have access to my camera?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
42489,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_7,Farm Frenzy Free: Time management game _7_7_0,train,what sort of information does the app \send home\?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
42490,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_7,Farm Frenzy Free: Time management game _7_7_1,train,what sort of information does the app \send home\?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
42491,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_7,Farm Frenzy Free: Time management game _7_7_2,train,what sort of information does the app \send home\?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
42492,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_7,Farm Frenzy Free: Time management game _7_7_3,train,what sort of information does the app \send home\?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
42493,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_7,Farm Frenzy Free: Time management game _7_7_4,train,what sort of information does the app \send home\?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
42535,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_8,Farm Frenzy Free: Time management game _7_8_12,train,are in-app purchases made through google or a third party?,In some of our apps we use subscriptions in order to provide you with interesting offers.,Relevant
42536,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_8,Farm Frenzy Free: Time management game _7_8_13,train,are in-app purchases made through google or a third party?,"Technically, these subscriptions are provided by Google Play / App Store, and we do not collect any extra information besides your email address.",Relevant
42537,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_8,Farm Frenzy Free: Time management game _7_8_14,train,are in-app purchases made through google or a third party?,"For App Store Auto Renewable subscriptions, you can turn off auto-renew by following this instruction: https://support.apple.com/en-us/HT202039",Relevant
42543,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_8,Farm Frenzy Free: Time management game _7_8_20,train,are in-app purchases made through google or a third party?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42577,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_9,Farm Frenzy Free: Time management game _7_9_20,train,who do you share information with?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42578,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_9,Farm Frenzy Free: Time management game _7_9_21,train,who do you share information with?,We have never received any requests from the state authorities of any country for providing such information.,Relevant
42579,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_9,Farm Frenzy Free: Time management game _7_9_22,train,who do you share information with?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
42591,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_10,Farm Frenzy Free: Time management game _7_10_0,train,what information of mine do you share?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
42592,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_10,Farm Frenzy Free: Time management game _7_10_1,train,what information of mine do you share?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
42593,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_10,Farm Frenzy Free: Time management game _7_10_2,train,what information of mine do you share?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
42594,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_10,Farm Frenzy Free: Time management game _7_10_3,train,what information of mine do you share?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
42595,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_10,Farm Frenzy Free: Time management game _7_10_4,train,what information of mine do you share?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
42611,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_10,Farm Frenzy Free: Time management game _7_10_20,train,what information of mine do you share?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42612,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_10,Farm Frenzy Free: Time management game _7_10_21,train,what information of mine do you share?,We have never received any requests from the state authorities of any country for providing such information.,Relevant
42613,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_10,Farm Frenzy Free: Time management game _7_10_22,train,what information of mine do you share?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
42634,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_11,Farm Frenzy Free: Time management game _7_11_9,train,can i opt out of sharing my information?,"On our website, we use Cookies.",Relevant
42635,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_11,Farm Frenzy Free: Time management game _7_11_10,train,can i opt out of sharing my information?,"Cookies are small bits of information used, in our case, to store user's preferred language and some other settings during current browser's session.",Relevant
42636,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_11,Farm Frenzy Free: Time management game _7_11_11,train,can i opt out of sharing my information?,You can set your browser to stop accepting cookies which can lead to functionality of our site decreased.,Relevant
42653,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_11,Farm Frenzy Free: Time management game _7_11_28,train,can i opt out of sharing my information?,"By using our website and apps, you are confirming that you are agreed to our Privacy Policy.",Relevant
42654,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_11,Farm Frenzy Free: Time management game _7_11_29,train,can i opt out of sharing my information?,"In case you do not agree with it, please, don't use our products.",Relevant
42655,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_11,Farm Frenzy Free: Time management game _7_11_30,train,can i opt out of sharing my information?,Tell us which marketing messages are acceptable to you.,Relevant
42656,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_11,Farm Frenzy Free: Time management game _7_11_31,train,can i opt out of sharing my information?,Email us at press@herocraft.com to tell us your marketing preferences.,Relevant
42657,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_11,Farm Frenzy Free: Time management game _7_11_32,train,can i opt out of sharing my information?,Stop receiving HeroCraft marketing emails by clicking the unsubscribe link included at the bottom of HeroCraft marketing emails.,Relevant
42658,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_11,Farm Frenzy Free: Time management game _7_11_33,train,can i opt out of sharing my information?,"You cannot opt out of certain emails we need to send you relating to normal business operations (for example, we may email you to deliver a content that your bought using the HeroCraft online service).",Relevant
42713,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_13,Farm Frenzy Free: Time management game _7_13_20,train,how many companies do you share my information with?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42714,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_13,Farm Frenzy Free: Time management game _7_13_21,train,how many companies do you share my information with?,We have never received any requests from the state authorities of any country for providing such information.,Relevant
42715,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_13,Farm Frenzy Free: Time management game _7_13_22,train,how many companies do you share my information with?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
42761,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_15,Farm Frenzy Free: Time management game _7_15_0,train,what information does this app access about me on signup and through active use?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
42762,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_15,Farm Frenzy Free: Time management game _7_15_1,train,what information does this app access about me on signup and through active use?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
42763,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_15,Farm Frenzy Free: Time management game _7_15_2,train,what information does this app access about me on signup and through active use?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
42764,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_15,Farm Frenzy Free: Time management game _7_15_3,train,what information does this app access about me on signup and through active use?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
42765,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_15,Farm Frenzy Free: Time management game _7_15_4,train,what information does this app access about me on signup and through active use?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
42770,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_15,Farm Frenzy Free: Time management game _7_15_9,train,what information does this app access about me on signup and through active use?,"On our website, we use Cookies.",Relevant
42815,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_16,Farm Frenzy Free: Time management game _7_16_20,train,does this app sell my information and data to third parties?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42816,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_16,Farm Frenzy Free: Time management game _7_16_21,train,does this app sell my information and data to third parties?,We have never received any requests from the state authorities of any country for providing such information.,Relevant
42817,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_16,Farm Frenzy Free: Time management game _7_16_22,train,does this app sell my information and data to third parties?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
42844,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_17,Farm Frenzy Free: Time management game _7_17_15,train,how does this app utilize my data?,We process the this information in an anonymous way for the general purposes:,Relevant
42845,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_17,Farm Frenzy Free: Time management game _7_17_16,train,how does this app utilize my data?,to provide you with services,Relevant
42846,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_17,Farm Frenzy Free: Time management game _7_17_17,train,how does this app utilize my data?,to communicate with you via email and to respond to your questions and comments,Relevant
42847,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_17,Farm Frenzy Free: Time management game _7_17_18,train,how does this app utilize my data?,for statistical purposes which help us to improve the quality of the services we provide,Relevant
42849,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_17,Farm Frenzy Free: Time management game _7_17_20,train,how does this app utilize my data?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42850,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_17,Farm Frenzy Free: Time management game _7_17_21,train,how does this app utilize my data?,We have never received any requests from the state authorities of any country for providing such information.,Relevant
42851,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_17,Farm Frenzy Free: Time management game _7_17_22,train,how does this app utilize my data?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
42897,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_19,Farm Frenzy Free: Time management game _7_19_0,train,could it give away my location?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
42898,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_19,Farm Frenzy Free: Time management game _7_19_1,train,could it give away my location?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
42917,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_19,Farm Frenzy Free: Time management game _7_19_20,train,could it give away my location?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
42954,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_20,Farm Frenzy Free: Time management game _7_20_23,train,can it read the contacts in my device?,Some of our Android apps were reported to be requesting access to the contacts book of the mobile phones.,Relevant
42955,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_20,Farm Frenzy Free: Time management game _7_20_24,train,can it read the contacts in my device?,This is required by the tell a friend feature.,Relevant
42956,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_20,Farm Frenzy Free: Time management game _7_20_25,train,can it read the contacts in my device?,"Nevertheless, your contacts information is used within your phone and never downloaded by us.",Relevant
42965,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_21,Farm Frenzy Free: Time management game _7_21_0,train,can it turn on my camera and/or microphone?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
42966,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_21,Farm Frenzy Free: Time management game _7_21_1,train,can it turn on my camera and/or microphone?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
42999,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_0,train,does it collect my personal information at all?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
43000,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_1,train,does it collect my personal information at all?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
43001,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_2,train,does it collect my personal information at all?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
